Linie	KNO3 [mM]	PR length fiji	PR length [cm]	LR count 	LRD [1/cm]				
6909	2	2.903	7,37	18	2,44				
6909	2	3.023	7,68	20	2,60				
6909	2	3.971	10,09	31	3,07				
6909	2	3.605	9,16	29	3,17				
6909	2	3.161	8,03	18	2,24				
6909	2	3.064	7,78	22	2,83				
6909	2	3.087	7,84	19	2,42				
6909	2	3.262	8,29	18	2,17				
6909	2	3.110	7,90	23	2,91				
6909	5	2.206	5,60	12	2,14				
6909	5	2.887	7,33	16	2,18				
6909	5	2.630	6,68	15	2,25				
6909	5	2.424	6,16	14	2,27				
6909	5	2.430	6,17	12	1,94				
6909	5	2.880	7,32	16	2,19				
6909	5	2.860	7,26	17	2,34				
6909	5	3.144	7,99	27	3,38				
6909	5	3.311	8,41	22	2,62				
6909	5	2.997	7,61	23	3,02				
6909	5	3.034	7,71	17	2,21				
6909	5	3.845	9,77	27	2,76				
6909	5	3.252	8,26	26	3,15				
6909	5	3.377	8,58	21	2,45				
6909	5	2.854	7,25	22	3,03				
6909	5	3.055	7,76	18	2,32				
6909	5	3.036	7,71	20	2,59				
6909	5	3.310	8,41	26	3,09				
6909	5	3.165	8,04	21	2,61				
6909	5	2.926	7,43	20	2,69				
6909	10	3.186	8,09	26	3,21				
6909	10	2.893	7,35	16	2,18				
6909	10	2.957	7,51	19	2,53				
6909	10	2.866	7,28	18	2,47				
6909	10	2.976	7,56	24	3,18				
6909	10	3.143	7,98	20	2,51				
6909	10	2.973	7,55	18	2,38				
6909	10	3.618	9,19	27	2,94				
6909	10	2.892	7,35	19	2,59				
6909	10	3.010	7,65	20	2,62				
6909	10	3.181	8,08	20	2,48				
6909	10	3.504	8,90	22	2,47				
6909	10	2.829	7,19	22	3,06				
6909	10	3.425	8,70	21	2,41				
6909	10	3.112	7,90	20	2,53				
6909	10	2.572	6,53	12	1,84				
6909	10	3.058	7,77	23	2,96				
6909	10	3.310	8,41	27	3,21				
6909	10	2.642	6,71	17	2,53				
6909	10	2.732	6,94	19	2,74				
6909	20	3.454	8,77	26	2,96				
6909	20	3.330	8,46	22	2,60				
6909	20	3.211	8,16	22	2,70				
6909	20	2.753	6,99	18	2,57				
6909	20	3.002	7,63	19	2,49				
6909	20	3.338	8,48	23	2,71				
6909	20	3.467	8,81	21	2,38				
6909	20	3.209	8,15	21	2,58				
6909	20	3.480	8,84	20	2,26				
6909	20	3.054	7,76	16	2,06				
6909	20	3.373	8,57	21	2,45				
6909	20	3.281	8,33	25	3,00				
6909	20	2.918	7,41	19	2,56				
6909	20	2.685	6,82	17	2,49				
6909	20	2.944	7,48	18	2,41				
6909	20	3.354	8,52	26	3,05				
6909	20	3.087	7,84	18	2,30				
6909	20	NA	NA	NA	NA				
6909	20	2.954	7,50	15	2,00				
6909	20	2.535	6,44	14	2,17				
6145	0.1	2.052	5,21	11	2,11				
6145	0.1	1.986	5,04	9	1,78				
6145	0.1	2.046	5,20	11	2,12				
6145	0.1	1.932	4,91	9	1,83				
6145	0.1	2.212	5,62	9	1,60				
6145	0.1	1.902	4,83	9	1,86				
